,name,brand,reviews.rating,reviews.text,reviews.title,sentiment
14733,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,My kids have enjoyed using this device. They have downloaded games and shows.,Perfect for my kids,Positive
14734,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"This tablet is the perfect size and so easy to use. Read, play games or any other purpose--it is great!",Great Tablet,Positive
14735,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"Bought this for vacation electronics. Music, magazines, audibles and books in one reasonably priced piece. Didn't worry about my expensive mobile phone and iPad being at the beach or in the car or elements.",All in One,Neutral
14736,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,Easy access to book reader. Love watching my Netflix.Con - Slow getting on Internet.,Excellent Book Reader,Positive
14737,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Upgraded; easy to use; thinner; very happy with it.,Kindle Fire 7,Positive
14738,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,I got this tablet on a deal and has good quality of video you can watch.,Good tablet to watch videos,Positive
14739,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,I love my Kindle. It's light and I haven't experienced nnby problems with it thus far. I just wish I could upload my music from Google Play on here,I love my Kindle,Positive
14740,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,It has a great camera and I really enjoy my games and Facebook on this larger screen than my phone. I love not using my data up on my phone.,I really enjoy this Kindle,Positive
14741,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,This Kindle Fire is lighter than my old one. The speed is great & all apps load very quickly. I also like that it comes in different colors.,very happy with new Kindle Fire,Positive
14742,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,Grandkids and adult parents love it. The parents texted and the grandkids play games.,Great for a kid.,Positive
14743,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Easy to use at home or lunch at the office. The only problem I have is that you have to restart often. Great while using public transportation.,Great reader for those on the go.,Positive
14744,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,3.0,Too slow for games and videos i bought it for my youngest son so they wouldnt fight for the ipad but they still do,Ok for what you pay,Negative
14745,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"Great value, just the right size and weight. Suits my needs perfectly. Performs very well. Easy to get accessories to fit.",Great Value,Positive
14746,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,I have a Kindle and my grandson uses it when he comes to visit. We decided to get him one.,my grandson loves it,Neutral
14747,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,This was a birthday gift for a family member who loves to read books. Couple this with Amazon gift cards and the library is endless!,Nice gift idea,Neutral
14748,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Fun product that can be used for many purposes. Great for streaming or reading on the go with great graphics. Makes an awesome gift!,Fun Product!,Positive
14749,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"The Kindle Fire is nice to use as a tablet to play games and surf the web as well as download and read books on. It has good speed, keeps a good charge and is affordable.",Great Tablet,Positive
14750,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,This is a very good reader for the money. Very versatile.,Great E reader,Positive
14751,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,I purchased this tablet for my grandmother to use. She loves it. It is easy to navigate for her. The only thing that annoys her is when the apps need to be updated. She does not have internet at home so she has to wait to update her apps when she visits family (who has internet service).,Great gift for my Grandmother!,Positive
14752,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,The Amazon Fire 7 Tablet 16GB is very a good value... highly recommend.,Highly recommend,Positive
14753,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"For this price everybody should have one of this tablet, it works really good",good tablet for that price,Positive
14754,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,"Just installed, but like it so far. The picture is clear and the price is affordable.",purchased for outdoor living space,Neutral
14755,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Since I purchased mine the wife thought she would also like one so we picked up her one and she is using it a lot.,The wife loves her new fire tablet,Neutral
14756,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,My sister in-law recommended these to my wife and I and I thought I would try one. They are just the right size to lay in bed of a evening and read a good book for a while.,Love this thing,Positive
14757,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,Good customer service during my quest to get a good deal and quality gadget.,Good experience & customer service,Positive
14758,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,I bought this tablet for my grandson and he absolutely loves it!!!!!,Just what a 7 year old needs,Positive
14759,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,my dauther loves the tablet and I can get the SD to get more storage and load up all the disney movies that I purchased. it is a great purchase.,love it,Positive
14760,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Excellent little tablet for reading books when you're on the go.,Good tablet,Positive
14761,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,Easy to use. Like all of the features. Lightweight.,Great laptop for my business.,Positive
14762,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,I bought this as a gift and it has performed perfectly. Can't beat at this price.,Great tablet for price,Positive
14763,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,I would recommend this excellent Amazon - Fire 7 Tablet product,Excellent Product,Positive
14764,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"My son has the Hd fire used for last 3 years, I bought this one for my moms birthday. She loves it. It's easy to navigate and the ability to increase the size of the print allows for the smaller screen cheaper price :)",Great producr,Positive
14765,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,is very good product and the difiitioin is very good thanks,very googd product,Positive
14766,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,"I was worried that it would have lag, but it didn't. I got this to replace my Kindle paperwhite (Which I still LOVE), because I wanted to be able to listen to the audio on the books as well. IT's a great little tablet that does so much of what I wanted it to do. The stand by time and play time are better than I thought they would be as well. I LOVE the blue light filter, although that takes time to get used to it if your not already accustomed to that sort of thing. The only other thing I really don't care for is the fact you can not easily add Google play store.",Love the response time,Positive
14767,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,Enjoy using this product. My granddaughter downloads multiplied games to play and can play them while traveling. Good size and can easily fit into small bag.,Good product for price,Positive
14768,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,"Great tool for kids, special when you don't need to $$$ to much.",Great,Positive
14769,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,4.0,just what I was looking for to putin my guest room. It has a good picture,great tv for a guest room,Positive
14770,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Amazon,5.0,I thoroughly enjoy reading on this. That is the main reason I bought it and it fits nicely in my purse.,I enjoy all of the features,Positive
